name_pub,street_name,postcode,latitude,longitude,borough
Aria Bar,"31 Longbridge Road, Barking",IG11 8TN,51.54024,0.081962,Barking and Dagenham
Barking Arms Ltd,"25-27 Station Parade, Barking",IG11 8TU,51.539531,0.080819,Barking and Dagenham
Barking football Club,"Barking Football Club, Lodge Avenue, Dagenham",RM8 2JR,51.545377,0.11296,Barking and Dagenham
Barking Indoor Bowls Club Ltd,"Indoor Bowls Hall, Barking Prk, Longbridge Road, Barking",IG11 8TA,51.542225,0.085096,Barking and Dagenham
Barking Rugby Union Football Club,"Gale Street, Dagenham",RM9 4TX,51.53492,0.127357,Barking and Dagenham
Barking United Services Club,"79 Blake Avenue, Barking",IG11 9SF,51.53303,0.098489,Barking and Dagenham
Beacon Tree,"Beacon Tree, 945 Green Lane, Dagenham",RM8 1DJ,51.561457,0.140758,Barking and Dagenham
Chadwell Heath Cricket Club,"St Chads Park, West Road, Chadwell Heath",RM6 6YA,51.575822,0.134086,Barking and Dagenham
Coopers Arms,"Coopers Arms, 2 High Road, Chadwell Heath",RM6 6PR,51.570866,0.131704,Barking and Dagenham
Dagenham Bowling,"Dagenham Leisure Park, Cook Road, Dagenham",RM9 6UQ,51.532573,0.135769,Barking and Dagenham
Dagenham Conservative & Social Club,"8-12 Salisbury Road, Dagenham",RM10 8TT,51.540071,0.159424,Barking and Dagenham
Dagenham Trades Hall,"Dagenham Trades Hall, Charlotte Road, Dagenham",RM10 8TD,51.541003,0.157666,Barking and Dagenham
Deuce Lounge,"20-22 London Road, Barking",IG11 8AG,51.538258,0.078064,Barking and Dagenham
Eastbrook Hotel Ph,"Eastbrook Hotel Ph, Dagenham Road, Dagenham",RM10 7UP,51.552425,0.164409,Barking and Dagenham
Kings Lounge,"2 Linton Road, Barking",IG11 8HG,51.538948,0.07873,Barking and Dagenham
Lord Denman PH,"Lord Denman Ph, 270-272 Heathway, Dagenham",RM10 8QS,51.541852,0.14813,Barking and Dagenham
ME 'N' O'Briens,"26-28 Goresbrook Road, Dagenham",RM9 6UR,51.532252,0.146884,Barking and Dagenham
Mecca Bingo Club,"Cook Road, Dagenham",RM9 6UQ,51.532573,0.135769,Barking and Dagenham
Nelson Snooker,"Nelson Snooker, 667-671 Green Lane, Dagenham",RM8 1YA,51.562601,0.122286,Barking and Dagenham
Royal British Legion Club,"541 Becontree Avenue, Dagenham",RM8 3JP,51.559221,0.136613,Barking and Dagenham
Royal British Legion Dagenham Club,"Rectory Road, Dagenham",RM10 9SA,51.539099,0.1541,Barking and Dagenham
Scrattons Community Association Ltd,"Scrattons Community Association Ltd, Morrison Road, Barking",IG11 0UA,51.530436,0.132554,Barking and Dagenham
Thatched House,"The Thatched House Ph, Ripple Road, Barking",IG11 9PG,51.533425,0.105558,Barking and Dagenham
The Admiral Vernon,"141 Broad Street, Dagenham",RM10 9HP,51.536587,0.150838,Barking and Dagenham
The Avenues Social Club Limited,"231 Dagenham Road, Rush Green",RM7 0TH,51.563231,0.175296,Barking and Dagenham
