"name_pub","street_name","postcode","latitude","longitude","borough"
"All Bar One","Public House, 16 Byward Street, London","EC3R 5BA","51.509802","-0.078944","City of London"
"Isis Bar","8-10 Cooper's Row, London","EC3N 2BQ","51.510833","-0.076579","City of London"
"Jamies","Retail Unit, River House, 119-121 Minories, London","EC3N 1DR","51.511473","-0.075559","City of London"
"Liberty Bounds","Retail Unit, 15 Trinity Square, London","EC3N 4AA","51.509755","-0.078801","City of London"
"Revolution","Retail Unit, 1 America Square, London","EC3N 2LS","51.511024","-0.076111","City of London"
"The Minories Public House","Minories Public House, 64-73 Minories, London","EC3N 1JL","51.510638","-0.074527","City of London"
"02 Ny-Lon Bar","02 Peninsular Square, London","SE10 0DX","51.501581","0.005519","Greenwich"
"Admiral Hardy","7 College Approach, London","SE10 9HY","51.482089","-0.009522","Greenwich"
"Anchor & Hope","2 Riverside, London","SE7 7SS","51.493619","0.028753","Greenwich"
"Angerstein Hotel","108 Woolwich Road, London","SE10 0LE","51.486158","0.01602","Greenwich"
"Ashburnham Arms","25 Ashburnham Grove, London","SE10 8UH","51.475829","-0.016318","Greenwich"
"Belushi's","189 Greenwich High Road, London","SE10 8JA","51.477626","-0.014627","Greenwich"
"Bill's Restaurant Limited","13-14 Nelson Road, London","SE10 9JB","51.481097","-0.008845","Greenwich"
"Blackheath & Newbridge","Working Men's Club, 22 Charlton Road, London","SE3 7HG","51.477815","0.02111","Greenwich"
"Blackheath Football Club Ltd","t/a Blackheath Rugby Club, Rectory Field, Charlton Road, London","SE7 7EZ","51.479672","0.026622","Greenwich"
"British Oak","109 Old Dover Road, London","SE3 8SU","51.476228","0.026095","Greenwich"
"Charlton Liberal Club","59 Charlton Church Lane, London","SE7 7AE","51.486266","0.032157","Greenwich"
"Charlton Park Rugby Club","60a Broad Walk, London","SE3 8NB","51.46591","0.034593","Greenwich"
"Crofton Albion Sports & Social Club","Weigall Road, London","SE12 8HF","51.457491","0.018571","Greenwich"
"Cutty Sark Tavern","4 - 6 Ballast Quay, London","SE10 9PD","51.486498","-0.000169","Greenwich"
"Goddard's at Greenwich","22 King William Walk, London","SE10 9HU","51.481844","-0.008856","Greenwich"
"Green Pea","c/o Hardys Freehouse, 92 Trafalgar Road, London","SE10 9UW","51.484032","0.001537","Greenwich"
"Greenwich Tavern","1 King William Walk, London","SE10 9JH","51.480405","-0.007767","Greenwich"
"Greenwich Theatre","Crooms Hill, London","SE10 8ES","51.479477","-0.007692","Greenwich"
"Greenwich Union","56 Royal Hill, London","SE10 8RT","51.476547","-0.009864","Greenwich"
"Hardys Free house","92 Trafalgar Road, London","SE10 9UW","51.484032","0.001537","Greenwich"
"Meantime Brewery Company LTD","Unit 1 , Lawrence Trading Estate, Blackwall Lane, London","SE10 0AR","51.48945","0.008084","Greenwich"
"Mitre","291 Greenwich High Road, London","SE10 8NA","51.480215","-0.00982","Greenwich"
"North Pole Bar & Restaurant","131 Greenwich High Road, London","SE10 8JA","51.477626","-0.014627","Greenwich"
"Old Brewery","Pepys House, 2 Cutty Sark Gardens, London","SE10 9LW","51.482782","-0.009045","Greenwich"
"Olivers","9 Nevada Street, London","SE10 9JL","51.479683","-0.007625","Greenwich"
"Pelton Arms","23-25 Pelton Road, London","SE10 9PQ","51.486511","0.002784","Greenwich"
"Plume of Feathers","19 Park Vista, London","SE10 9LZ","51.482099","-0.000564","Greenwich"
"Prince of Greenwich","72 Royal Hill, London","SE10 8RT","51.476547","-0.009864","Greenwich"
"Richard 1","52-54 Royal Hill, London","SE10 8RT","51.476547","-0.009864","Greenwich"
"Rose and Crown","1 Crooms Hill, London","SE10 8ER","51.478723","-0.007725","Greenwich"
"Rose of Denmark","296 Woolwich Road, London","SE7 7AL","51.487233","0.026698","Greenwich"
"Royal Standard","44 Vanbrugh Park, London","SE3 7JQ","51.476949","0.016608","Greenwich"
"Royal Standard P.H","67 Pelton Road, London","SE10 9AH","51.486495","0.003719","Greenwich"
"Star and Garter","60 Old Woolwich Road, London","SE10 9NY","51.48422","-0.000528","Greenwich"
"Studio 338","338 Tunnel Avenue, London","SE10 0PF","51.495445","0.004659","Greenwich"
"The Antigallican","428 Woolwich Road, London","SE7 8SU","51.487689","0.031558","Greenwich"
"The Crown","176 Trafalgar Road, London","SE10 9TZ","51.48491","0.004385","Greenwich"
"The Duchess Public House","1 Woolwich Road, London","SE10 0RA","51.486414","0.008469","Greenwich"
"The Duke","125 Creek Road, London","SE8 3BU","51.481058","-0.02191","Greenwich"
"The Gipsy Moth","60 Greenwich Church Street, London","SE10 9BL","51.481708","-0.009856","Greenwich"
"The Guildford Arms","55 Guildford Grove, London","SE10 8JY","51.474191","-0.016274","Greenwich"
"The Lost Hour","217-219 Greenwich High Road, London","SE10 8NB","51.478947","-0.011416","Greenwich"
"The Morden Arms","1 Brand Street, London","SE10 8SP","51.47618","-0.01158","Greenwich"
"The Pickwick","246 Woolwich Road, London","SE7 7QU","51.486796","0.023394","Greenwich"
"The Pilot Inn","68 River Way, London","SE10 0BE","51.496308","0.010446","Greenwich"
"The Yacht Club","5-7 Crane Street, London","SE10 9NP","51.484685","-0.003533","Greenwich"
"Up The Creek","302 Creek Road, London","SE10 9SW","51.481339","-0.010866","Greenwich"
"Vanbrugh Tavern","91 Colomb Street, London","SE10 9EZ","51.483671","0.007398","Greenwich"
"Hero Of Switzerland","142 Loughborough Road, London","SW9 7LL","51.466932","-0.105321","Lambeth"
"The Cambria Bar & Brasserie","40 Kemerton Road, London","SE5 9AR","51.464809","-0.096958","Lambeth"
"The Kennington","60 Camberwell New Road, London","SE5 0RS","51.479119","-0.105983","Lambeth"
"The Sun Of Camberwell","61 - 63 Coldharbour Lane, London","SE5 9NS","51.469682","-0.095762","Lambeth"
"Amaryllis","66, Coldharbour Lane, London","SE5 9PU","51.469756","-0.096997","Lambeth"
"Albertines","The Malt And Hops, 237 Lewisham Way, London","SE4 1UY","51.470571","-0.028785","Lewisham"
"Bellingham Ex-servicemen's club","Bellingham Club, Allerford Road, London","SE6 3DD","51.43094","-0.017026","Lewisham"
"Big Mikes","The Catford Ram, 9 Winslade Way, London","SE6 4JU","51.446277","-0.020477","Lewisham"
"Bird In Hand,","Bird In Hand, 35 Dartmouth Road, London","SE23 3HN","51.437805","-0.054282","Lewisham"
"Black Vanilla Ltd","32 Tranquil Vale, Blackheath, London","SE3 0AX","51.46627","0.009024","Lewisham"
"Brockley Jack","408-410 Brockley Road, Crofton Park, London","SE4 2DH","51.453433","-0.038563","Lewisham"
"Brockley Social Club","240-242 Brockley Road, Crofton Park, London","SE4 2SU","51.461919","-0.03568","Lewisham"
"Brookdale Club","Brookdale Road, London","SE6 4JY","51.44568","-0.02187","Lewisham"
"Calabash Centre","24-26 George Lane, Hither Green, London","SE13 6HH","51.450282","-0.014849","Lewisham"
"Capitol - JD Wetherspoon PLC","11-21 London Road, London","SE23 3TW","51.43887","-0.054482","Lewisham"
"Chandos Hotel","The Chandos, 56 Brockley Rise, Crofton Park, London","SE23 1LN","51.448162","-0.040602","Lewisham"
"Dacre Arms","11 Kingswood Place, London","SE13 5BU","51.461081","0.003743","Lewisham"
"Dog & Bell","Dog And Bell, 116 Prince Street, London","SE8 3JD","51.483301","-0.025874","Lewisham"
"Duke of Edinburgh","Duke Of Edinburgh Public House, 394 Lee High Road, London","SE12 8RW","51.456457","0.010666","Lewisham"
"Five Bells","155 New Cross Road, London","SE14 5DJ","51.476037","-0.047472","Lewisham"
"Flower of Kent","Flower Of Kent, 135 Lewisham Way, London","SE14 6QP","51.471773","-0.030217","Lewisham"
"Foresters Arms","All Inn One, 53 Perry Vale, Forest Hill, London","SE23 2NE","51.439257","-0.051832","Lewisham"
