"name_pub","latitude","longitude","total_crime"
"Joiners Arms","51.462956","-0.010787","45"
"Up The Creek","51.481339","-0.010866","41"
"The Gipsy Moth","51.481708","-0.009856","27"
"Peckham liberal club","51.470788","-0.071008","23"
"The greyhound","51.474117","-0.068362","23"
"Five Bells","51.476037","-0.047472","21"
"Bill's Restaurant Limited","51.481097","-0.008845","21"
"The kentish drovers","51.473836","-0.069309","21"
"56 social club","51.473214","-0.070891","19"
"The white horse","51.465565","-0.066722","17"
"Admiral Hardy","51.482089","-0.009522","16"
"Club favour","51.484396","-0.068445","16"
"Club 701","51.484396","-0.068445","16"
"Cache vip latin club","51.484397","-0.068446","16"
"Goddard's at Greenwich","51.481844","-0.008856","16"
"The Little Crown","51.475256","-0.027129","15"
"Surrey docks","51.49258","-0.045641","15"
"The blue anchor p h","51.492574","-0.063173","14"
"Surdoc social club ltd","51.492491","-0.046769","14"
"Canavans peckham pool club","51.467136","-0.066583","14"
"The nags head","51.467685","-0.066603","12"
"Prince of wales","51.482316","-0.061721","12"
"Whelan's free house","51.493073","-0.047738","11"
"The yellow house","51.49311","-0.047247","11"
"Hollydale tavern","51.468976","-0.056009","10"
"Greenwich Tavern","51.480405","-0.007767","10"
"Venue Club","51.476173","-0.036752","10"
"Fast forward","51.477439","-0.069143","10"
"Belushi's","51.477626","-0.014627","9"
"The Yacht Club","51.484685","-0.003533","9"
"Greenwich Theatre","51.479477","-0.007692","9"
"North Pole Bar & Restaurant","51.477626","-0.014627","9"
"Hansbury's Free House","51.456068","-0.008668","9"
"New Cross House","51.47541","-0.037404","9"
"Prince albert","51.467913","-0.072281","9"
"Olivers","51.479683","-0.007625","9"
"New Cross Inn","51.475623","-0.038288","8"
"Watch House","51.45984","-0.012103","8"
"The Duke","51.481058","-0.02191","8"
"Albertines","51.470571","-0.028785","7"
"The Ravensbourne Arms","51.455455","-0.014971","7"
"Pyrotechnist arms","51.465307","-0.058224","7"
"Ancient foresters","51.492009","-0.060547","7"
"The Royal George","51.471699","-0.028967","7"
"Man of kent","51.465307","-0.058224","7"
"Cutty Sark Tavern","51.486498","-0.000169","7"
"The montpelier","51.46755","-0.070986","7"
"Flower of Kent","51.471773","-0.030217","7"
"Ladywell Tavern","51.456302","-0.021426","7"
"The victoria inn","51.46755","-0.070986","7"
"Rising Sun","51.465507","-0.018047","7"
"The Guildford Arms","51.474191","-0.016274","7"
"Glengall tavern","51.479962","-0.07003","6"
"Royal Albert","51.474895","-0.027058","6"
"The Brockley Barge","51.464073","-0.036508","6"
"Marquis of Granby","51.47567","-0.034124","6"
"Wickham Arms","51.467284","-0.033304","6"
"Old nuns head","51.465286","-0.05965","6"
"The beer rebellion","51.47509","-0.058716","6"
"The Bridge House","51.46568","-0.010712","6"
"Star & Garter","51.474895","-0.027058","6"
"Brockley Jack","51.453433","-0.038563","6"
"Old Brewery","51.482782","-0.009045","6"
"The olde apple tree","51.479657","-0.073874","5"
"Rose and Crown","51.478723","-0.007725","5"
"Mitre","51.480215","-0.00982","4"
"Stanley arms public house","51.494803","-0.058195","4"
"Star and Garter","51.48422","-0.000528","4"
"Ashburnham Arms","51.475829","-0.016318","4"
"Lord Palmerston","51.481891","-0.034015","4"
"One Bar","51.462341","-0.008453","4"
"The Morden Arms","51.47618","-0.01158","4"
"Gimlet bar","51.467827","-0.07417","4"
"Duke of sussex","51.479292","-0.065364","3"
"Pelton Arms","51.486511","0.002784","3"
"The Black Horse","51.485697","-0.034139","3"
"Richard 1","51.476547","-0.009864","3"
"Greenwich Union","51.476547","-0.009864","3"
"Moby dick","51.495728","-0.039211","3"
"Brockley Social Club","51.461919","-0.03568","3"
"Prince of Greenwich","51.476547","-0.009864","3"
"The waverley arms","51.460654","-0.046631","3"
"The Lost Hour","51.478947","-0.011416","3"
"Rye hill tenants & residents association","51.459342","-0.056922","3"
"The orange bull","51.49886","-0.034538","3"
"The golden anchor","51.469161","-0.052013","3"
